date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,01-the-slideument-problem,2650,7,2,yes,0,no,Mayer's Redundancy Principle as the cognitive engine under Reynolds' slideument: verbal-channel collision between narration and on-screen text,0
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,02-no-clear-hierarchy,2800,7,4,yes,0,no,Type-level contrast ratio as the perceptual threshold below which visual hierarchy fails to exist,0
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,03-too-much-text,3150,9,5,yes,0,no,The three-failure-mode taxonomy (Redundancy / Seductive Detail / Density) applied as a per-element audit,0
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,04-the-wrong-visual-form,2750,4,0,yes,0,no,Form-fit: the structural relationship in the content (comparison/sequence/network/trend/magnitude) determines the visual form,0
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,05-color-is-doing-nothing-or-harm,3150,6,1,yes,0,no,Signaling as a finite-capacity channel: every color either encodes a job or competes with the colors that do,1
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,06-the-textbook-figure-on-the-slide,3600,5,2,yes,0,no,Four operations on textbook figures (crop/enlarge/signal/simplify) grounded in Pre-Training + Segmenting + Spatial Contiguity,0
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,07-seductive-details,3000,5,0,yes,0,no,Diversion / schema-interference as the cognitive mechanism behind the seductive-details effect; Coherence Principle as its design expression,0
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,08-the-deck-that-covers-but-doesnt-teach,3900,5,2,yes,0,no,Backward design as the structural inversion that lets cognitive-load and retrieval-practice findings land at the deck level,0
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,09-live-deck-vs-study-artifact,3700,5,1,yes,0,no,Dual-channel working-memory processing as the structural reason one deck cannot serve both live and study,0
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,10-the-headline-that-says-nothing,3200,8,3,yes,0,no,Schema pre-activation: the assertion headline gives the student a slot before evidence arrives,0
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,11-owning-your-design-md,3800,7,2,yes,0,no,Dual-audience constraint: DESIGN.md as both human specification and model prompt,1
2026-05-13,brutalist-using-d3-and-html-to-make-slide-decks,12-the-diagnostic-checklist,3100,5,3,yes,0,no,Read-do vs do-confirm: why the slide-design checklist is do-confirm and what the Bosk critique demands of it,0
